RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00002624	SAMN02787998	GTEX-11DXZ-2626-SM-59882
RES00002558	SAMN02793506	GTEX-11DYG-0006-SM-5NQB2
RES00002577	SAMN02791707	GTEX-11DYG-0008-SM-5QGR5
RES00002559	SAMN11826677	GTEX-11DYG-0011-R10b-SM-DNZZO
RES00002658	SAMN11827535	GTEX-11DYG-0011-R11a-SM-DNZZP
RES00002659	SAMN11826481	GTEX-11DYG-0011-R5a-SM-DO928
RES00002660	SAMN11829615	GTEX-11DYG-0011-R6a-SM-DO936
RES00002661	SAMN11828281	GTEX-11DYG-0011-R7b-SM-EXUS6
RES00002662	SAMN11827221	GTEX-11DYG-0011-R8a-SM-DO93F
RES00002560	SAMN02793754	GTEX-11DYG-0126-SM-59883
RES00002564	SAMN02788080	GTEX-11DYG-0426-SM-5987J
RES00002567	SAMN02790486	GTEX-11DYG-0826-SM-5N9GH
RES00002664	SAMN02789349	GTEX-11DYG-0926-SM-5EGGW
RES00002565	SAMN02788257	GTEX-11DYG-1026-SM-5A5JQ
RES00002580	SAMN02792422	GTEX-11DYG-1226-SM-5N9DC
RES00002582	SAMN02793187	GTEX-11DYG-1326-SM-5N9DO
RES00002583	SAMN02788762	GTEX-11DYG-1426-SM-5A5JR
RES00002572	SAMN02790681	GTEX-11DYG-1526-SM-5A5JS
RES00002581	SAMN02788120	GTEX-11DYG-1926-SM-5H12I
RES00002586	SAMN02792247	GTEX-11DYG-2026-SM-5EGGX
RES00002571	SAMN02791021	GTEX-11DYG-2526-SM-5N9BB
RES00002576	SAMN02789769	GTEX-11DYG-2926-SM-5H132
RES00002574	SAMN02793589	GTEX-11DYG-3126-SM-5A5L6
RES00002620	SAMN02788705	GTEX-11DZ1-0008-SM-5QGR3
RES00002629	SAMN11829653	GTEX-11DZ1-0011-R10b-SM-DO943
RES00002630	SAMN11829402	GTEX-11DZ1-0011-R11b-SM-DO11W
