RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00001831	SAMD00005404	11899-125E9
RES00001831	SAMD00004733	11900-125F1
RES00001832	SAMD00005183	11890-125D9
RES00001832	SAMD00005506	11891-125E1
RES00001832	SAMD00005885	11892-125E2
RES00001833	SAMD00005170	11894-125E4
RES00001833	SAMD00005959	11895-125E5
RES00001833	SAMD00005842	11896-125E6
RES00001834	SAMD00004997	11521-119H9
RES00001834	SAMD00004955	11601-120H8
RES00001834	SAMD00005589	11682-122H8
RES00001835	SAMD00004821	11524-119I3
RES00001835	SAMD00004864	11604-120I2
RES00001835	SAMD00005533	11685-122I2
RES00001836	SAMD00005826	11523-119I2
RES00001836	SAMD00005065	11603-120I1
RES00001836	SAMD00004984	11684-122I1
RES00001837	SAMD00004765	10435-106E3
RES00001838	SAMD00004786	11246-116E4
RES00001839	SAMD00004777	11530-119I9
RES00001840	SAMD00021718	13079-140B1
RES00001840	SAMD00021781	13145-140I4
RES00001840	SAMD00021844	13211-141G7
RES00001841	SAMD00021719	13080-140B2
RES00001841	SAMD00021782	13146-140I5
RES00001841	SAMD00021845	13212-141G8
RES00001842	SAMD00021720	13081-140B3
RES00001842	SAMD00021783	13147-140I6
RES00001842	SAMD00021846	13213-141G9
RES00001843	SAMD00021721	13082-140B4
RES00001843	SAMD00021784	13148-140I7
RES00001843	SAMD00021847	13214-141H1
RES00001844	SAMD00021722	13083-140B5
RES00001844	SAMD00021785	13149-140I8
RES00001844	SAMD00021848	13215-141H2
RES00001845	SAMD00021723	13084-140B6
RES00001845	SAMD00021786	13150-140I9
RES00001845	SAMD00021849	13216-141H3
RES00001846	SAMD00021724	13085-140B7
RES00001846	SAMD00021787	13151-141A1
RES00001846	SAMD00021850	13217-141H4
RES00001847	SAMD00021725	13086-140B8
RES00001847	SAMD00021788	13152-141A2
RES00001847	SAMD00021851	13218-141H5
RES00001848	SAMD00021726	13087-140B9
RES00001848	SAMD00021789	13153-141A3
RES00001848	SAMD00021852	13219-141H6
RES00001849	SAMD00021727	13088-140C1
RES00001849	SAMD00021790	13154-141A4
RES00001849	SAMD00021853	13220-141H7
RES00001850	SAMD00021728	13089-140C2
RES00001850	SAMD00021791	13155-141A5
RES00001850	SAMD00021854	13221-141H8
RES00001851	SAMD00021729	13090-140C3
RES00001851	SAMD00021792	13156-141A6
RES00001851	SAMD00021855	13222-141H9
RES00001852	SAMD00021730	13091-140C4
RES00001852	SAMD00021793	13157-141A7
RES00001852	SAMD00021856	13223-141I1
RES00001853	SAMD00021731	13092-140C5
RES00001853	SAMD00021794	13158-141A8
RES00001853	SAMD00021857	13224-141I2
RES00001854	SAMD00021732	13093-140C6
RES00001854	SAMD00021795	13159-141A9
RES00001854	SAMD00021858	13225-141I3
RES00001855	SAMD00021733	13094-140C7
RES00001855	SAMD00021796	13160-141B1
RES00001855	SAMD00021859	13226-141I4
RES00001856	SAMD00021734	13095-140C8
RES00001856	SAMD00021797	13161-141B2
RES00001856	SAMD00021860	13227-141I5
RES00001857	SAMD00021735	13096-140C9
RES00001857	SAMD00021798	13162-141B3
RES00001857	SAMD00021861	13228-141I6
RES00001858	SAMD00005531	11272-116H3
RES00001858	SAMD00004888	11349-117G8
RES00001858	SAMD00005662	11421-118F8
RES00001859	SAMD00004992	11251-116E9
RES00001860	SAMD00005596	11527-119I6
RES00001860	SAMD00005048	11607-120I5
RES00001860	SAMD00005175	11688-122I5
RES00001861	SAMD00004995	10687-109F3
RES00001862	SAMD00004891	11529-119I8
RES00001862	SAMD00005741	11609-120I7
RES00001862	SAMD00004687	11690-122I7
RES00001863	SAMD00004711	12260-130A1
RES00001863	SAMD00004991	12382-131E6
RES00001863	SAMD00005701	12504-133A2
RES00001864	SAMD00021252	12261-130A2
RES00001864	SAMD00021298	12383-131E7
RES00001864	SAMD00021344	12505-133A3
RES00001865	SAMD00021253	12262-130A3
RES00001865	SAMD00021299	12384-131E8
RES00001865	SAMD00021345	12506-133A4
RES00001866	SAMD00021254	12263-130A4
RES00001866	SAMD00021300	12385-131E9
RES00001866	SAMD00021346	12507-133A5
RES00001867	SAMD00021255	12264-130A5
RES00001867	SAMD00021301	12386-131F1
RES00001867	SAMD00021347	12508-133A6
RES00001868	SAMD00021256	12265-130A6
RES00001868	SAMD00021302	12387-131F2
RES00001868	SAMD00021348	12509-133A7
RES00001869	SAMD00021257	12266-130A7
RES00001869	SAMD00021303	12388-131F3
RES00001869	SAMD00021349	12510-133A8
RES00001870	SAMD00021258	12267-130A8
RES00001870	SAMD00021304	12389-131F4
RES00001870	SAMD00021350	12511-133A9
RES00001871	SAMD00021259	12268-130A9
RES00001871	SAMD00021305	12390-131F5
RES00001871	SAMD00021351	12512-133B1
RES00001872	SAMD00021260	12269-130B1
RES00001872	SAMD00021306	12391-131F6
RES00001872	SAMD00021352	12513-133B2
RES00001873	SAMD00021261	12270-130B2
RES00001873	SAMD00021307	12392-131F7
RES00001873	SAMD00021353	12514-133B3
